"Symbol","Description","Local Symbol","IPO Date","Category1","Category2","Category3","GICS Sector","ISIN","SEDOL","Market Cap","Currency","Actions"
"KQ:086900","MEDY-TOX INC","086900","01/16/2009","Global Equity","Common stocks","Emerging markets","Health Care","KR7086900008","B3L2NF1","674,479,407,104","KRW","Analyze"
"KQ:348210","Nextin Inc","348210","10/08/2020","Global Equity","Common stocks","Developed markets ex-US","Information Technology","KR7348210006","BMY4SZ2","672,819,900,000","KRW","Analyze"
"KQ:064550","Bioneer Corp","064550","01/02/2006","Global Equity","Common stocks","Developed markets ex-US","Health Care","KR7064550007","B0VTXZ1","661,817,131,008","KRW","Analyze"
"KQ:323990","Vaxcell Bio Therapeutics","323990","09/22/2020","Global Equity","Common stocks","Developed markets ex-US","Health Care","KR7323990002","BMZ1562","661,439,400,000","KRW","Analyze"
"KQ:033640","Nepes Corp","033640","09/14/2000","Global Equity","Common stocks","Developed markets ex-US","Information Technology","KR7033640004","6220578","656,884,826,112","KRW","Analyze"
"KQ:069080","WEBZEN INC","069080","05/23/2003","Global Equity","Common stocks","Emerging markets","Information Technology","KR7069080000","6614483","652,878,151,680","KRW","Analyze"
"KQ:025980","EMERSON PACIFIC INC","025980","09/20/2000","Global Equity","Common stocks","Emerging markets","Consumer Discretionary","KR7025980004","6235936","643,903,520,768","KRW","Analyze"
"KQ:144510","Greencross Labcell Corp","144510","06/23/2016","Global Equity","Common stocks","Developed markets ex-US","Health Care","KR7144510005","BD0M415","643,800,104,960","KRW","Analyze"
"KQ:033290","Cowell Fashion Ltd","033290","09/14/2000","Global Equity","Common stocks","Developed markets ex-US","Consumer Discretionary","KR7033290008","6163811","614,438,731,776","KRW","Analyze"
"KQ:091700","PARTRON CO. LTD.","091700","12/13/2006","Global Equity","Common stocks","Emerging markets","Information Technology","KR7091700005","B1GN4B8","610,534,555,648","KRW","Analyze"
"KQ:100090","Samkang M&T Ltd","100090","08/01/2008","Global Equity","Common stocks","Developed markets ex-US","Materials","KR7100090000","B3CBLB9","592,013,230,080","KRW","Analyze"
"KQ:089980","Sang-A Frontec Ltd","089980","07/21/2011","Global Equity","Common stocks","Developed markets ex-US","Information Technology","KR7089980007","B4PZYX8","568,716,754,944","KRW","Analyze"
"KQ:092040","AMICOGEN INC","092040","09/12/2013","Global Equity","Common stocks","Emerging markets","Health Care","KR7092040005","BDGTKQ7","552,715,223,040","KRW","Analyze"
"KQ:182400","ATGEN","182400","10/23/2015","Global Equity","Common stocks","Emerging markets","Health Care","KR7182400002","BYWVH07","545,784,561,664","KRW","Analyze"
"KQ:183300","Komico Ltd","183300","03/23/2017","Global Equity","Common stocks","Developed markets ex-US","Information Technology","KR7183300003","BYXYVM5","538,784,989,184","KRW","Analyze"
"KQ:095610","TES CO. LTD.","095610","05/19/2008","Global Equity","Common stocks","Emerging markets","SEMICONDUCTORS & SEMICONDUCTOR EQUIPMEN","KR7095610002","B2RM9B6","538,618,036,224","KRW","Analyze"
"KQ:043150","VALUE ADDED TECHNOLOGIES LTD","043150","09/29/2006","Global Equity","Common stocks","Emerging markets","Health Care","KR7043150002","B1FMQF4","535,614,652,416","KRW","Analyze"
"KQ:085370","LUTRONIC CORP","085370","07/04/2006","Global Equity","Common stocks","Emerging markets","Health Care","KR7085370005","B188J27","535,308,173,312","KRW","Analyze"
"KQ:145020","HUGEL INC","145020","12/24/2015","Global Equity","Common stocks","Emerging markets","Health Care","KR7145020004","BZ1G175","531,700,383,744","KRW","Analyze"
"KQ:082270","GEMVAX & KAEL CO LTD","082270","06/24/2005","Global Equity","Common stocks","Emerging markets","Information Technology","KR7082270000","B09CF34","526,164,951,040","KRW","Analyze"
"KQ:006730","SEOBU T&D CO. LTD.","006730","09/20/2000","Global Equity","Common stocks","Emerging markets","Consumer Discretionary","KR7006730006","B0MRY40","517,799,313,408","KRW","Analyze"
"KQ:086390","Unitest Inc","086390","12/05/2006","Global Equity","Common stocks","Developed markets ex-US","Information Technology","KR7086390002","B1G40W4","517,171,183,616","KRW","Analyze"
"KQ:267980","MAEIL DAIRIES LTD","267980","06/05/2017","Global Equity","Common stocks","Emerging markets","Consumer Staples","KR7267980001","BYQJ9K1","510,620,958,720","KRW","Analyze"
"KQ:038500","SAMPYO Cement Co. Ltd","038500","02/01/2001","Global Equity","Common stocks","Developed markets ex-US","Materials","KR7038500005","6327253","507,247,656,960","KRW","Analyze"
"KQ:102710","Enf Technology Ltd","102710","05/28/2009","Global Equity","Common stocks","Developed markets ex-US","Materials","KR7102710001","B4RJZV3","506,434,912,256","KRW","Analyze"
"KQ:101490","S&S Tech Corp","101490","04/14/2009","Global Equity","Common stocks","Developed markets ex-US","Information Technology","KR7101490001","B3V9P01","502,703,456,256","KRW","Analyze"
"KQ:030520","HANCOM INC","030520","09/20/2000","Global Equity","Common stocks","Emerging markets","Information Technology","KR7030520001","B0SQYP2","501,577,220,096","KRW","Analyze"
"KQ:041190","Woori Technology Investment Ltd","041190","09/14/2000","Global Equity","Common stocks","Developed markets ex-US","Financials","KR7041190000","6591984","500,444,790,784","KRW","Analyze"
"KQ:194480","Devsisters Corp","194480","10/06/2014","Global Equity","Common stocks","Developed markets ex-US","Communication","KR7194480000","BQXWPJ8","493,814,808,576","KRW","Analyze"
"KQ:048530","INTRON BIOTECHNOLOGY INC.","048530","01/26/2011","Global Equity","Common stocks","Emerging markets","Health Care","KR7048530000","B3S5PF7","485,524,013,056","KRW","Analyze"
"KQ:039840","DIO CORP.","039840","09/20/2000","Global Equity","Common stocks","Emerging markets","Health Care","KR7039840004","6259806","480,751,812,608","KRW","Analyze"
"KQ:038540","Sangsangin Co. Ltd","038540","09/14/2000","Global Equity","Comon stocks","Developed markets ex-US","Financials","KR7038540001","","463,166,799,872","KRW","Analyze"
"KQ:031390","GREEN CROSS CELL CORP","031390","09/20/2000","Global Equity","Common stocks","Emerging markets","Information Technology","KR7031390008","6202242","460,896,075,776","KRW","Analyze"
"KQ:041960","KOMIPHARM INTERNATIONAL CO. LTD.","041960","10/30/2001","Global Equity","Common stocks","Emerging markets","Health Care","KR7041960006","6419008","456,713,994,240","KRW","Analyze"
"KQ:013120","DONGWON DEVELOPMENT CO. LTD.","013120","09/20/2000","Global Equity","Common stocks","Emerging markets","Real Estate","KR7013120001","6270733","451,316,252,672","KRW","Analyze"
"KQ:036830","SOULBRAIN LTD","036830","09/20/2000","Global Equity","Common stocks","Emerging markets","Materials","KR7036830008","B0105T2","447,093,637,120","KRW","Analyze"
"KQ:051500","CJ FRESHWAY CORP.","051500","07/26/2001","Global Equity","Common stocks","Emerging markets","Consumer Staples","KR7051500007","6381594","444,591,407,104","KRW","Analyze"
"KQ:089970","Aptc Corp","089970","08/23/2018","Global Equity","Common stocks","Developed markets ex-US","Information Technology","KR7089970008","BFXQQK1","441,442,009,088","KRW","Analyze"
"KQ:053030","BINEX CO. LTD.","053030","08/07/2001","Global Equity","Common stocks","Emerging markets","Health Care","KR7053030003","6383374","435,069,812,736","KRW","Analyze"
"KQ:035600","Kginicis Co Ltd","035600","11/22/2002","Global Equity","Common stocks","Developed markets ex-US","Information Technology","KR7035600006","6665027","433,610,457,088","KRW","Analyze"
"KQ:095660","NEOWIZ","095660","07/02/2007","Global Equity","Common stocks","Developed markets ex-US","Unknown","KR7095660007","","425,406,464,000","KRW","Analyze"
"KQ:060720","KHVATEC Co. Ltd","060720","05/21/2002","Global Equity","Common stocks","Developed markets ex-US","Information Technology","KR7060720000","6529004","422,034,243,584","KRW","Analyze"
"KQ:029960","Korea Environment Technology Ltd","029960","06/18/2004","Global Equity","Common stocks","Developed markets ex-US","Industrials","KR7029960002","B1379S5","418,199,896,064","KRW","Analyze"
"KQ:141080","Legochem Biosciences Inc","141080","05/10/2013","Global Equity","Common stocks","Developed markets ex-US","Health Care","KR7141080002","B8CL0T5","416,564,281,344","KRW","Analyze"
"KQ:088800","Ace Technologies Corp","088800","03/27/2006","Global Equity","Common stocks","Developed markets ex-US","Information Technology","KR7088800008","B125V95","412,033,449,984","KRW","Analyze"
"KQ:272290","INNOX ADVANCED MATERIALS LTD","272290","07/10/2017","Global Equity","Common stocks","Developed markets ex-US","Information Technology","KR7272290008","BF2NNZ7","409,738,412,032","KRW","Analyze"
"KQ:063080","GAMEVIL INC.","063080","07/30/2009","Global Equity","Common stocks","Emerging markets","Information Technology","KR7063080006","B4YLXJ6","408,242,257,920","KRW","Analyze"
"KQ:230240","Hfr Inc","230240","12/16/2015","Global Equity","Common stocks","Developed markets ex-US","Information Technology","KR7230240004","BZ76QD0","406,788,898,816","KRW","Analyze"
"KQ:100120","VIEWORKS LTD","100120","04/10/2009","Global Equity","Common stocks","Emerging markets","Health Care","KR7100120005","B3F2324","406,047,162,368","KRW","Analyze"
"KQ:015750","SUNGWOO HITECH CO. LTD.","015750","09/20/2000","Global Equity","Common stocks","Emerging markets","Consumer Discretionary","KR7015750003","6203869","403,157,680,128","KRW","Analyze"
"KQ:060150","INSUN ENT CO LTD COMMON STOCK KRW 500","060150","06/18/2002","Global Equity","Common stocks","Developed markets ex-US","Other","KR7060150000","6540823","385,832,550,400","KRW","Analyze"
"KQ:102940","KOLON LIFE SCIENCE INC","102940","04/07/2009","Global Equity","Common stocks","Emerging markets","Unknown","KR7102940004","B3SHRR9","385,026,752,512","KRW","Analyze"
"KQ:051370","INTERFLEX LTD","051370","01/22/2003","Global Equity","Common stocks","Emerging markets","Technology Hardware & Equipment","KR7051370005","6582955","369,740,873,728","KRW","Analyze"
"KQ:023410","Eugene Corp","023410","09/20/2000","Global Equity","Common stocks","Developed markets ex-US","Materials","KR7023410004","6195096","366,067,089,408","KRW","Analyze"
"KQ:121440","GOLFZONYUWONHOLDINGS LTD SHS","121440","05/20/2011","Global Equity","Common stocks","Emerging markets","Information Technology","KR7121440002","B558BH7","362,170,417,152","KRW","Analyze"
"KQ:060250","NHN KCP CORP","060250","01/08/2002","Global Equity","Common stocks","Emerging markets","Information Technology","KR7060250008","6434562","356,323,590,144","KRW","Analyze"
"KQ:041830","INBODY LTD","041830","12/14/2000","Global Equity","Common stocks","Emerging markets","Health Care","KR7041830001","6315054","355,266,494,464","KRW","Analyze"
"KQ:078130","Kuk-Il Paper Mfg Ltd","078130","10/22/2004","Global Equity","Common stocks","Developed markets ex-US","Materials","KR7078130002","B038VY1","354,454,437,888","KRW","Analyze"
"KQ:036810","Fine Semitech Corp","036810","10/20/2000","Global Equity","Common stocks","Developed markets ex-US","Information Technology","KR7036810000","6213998","352,922,730,496","KRW","Analyze"
"KQ:243070","HUONS LTD","243070","06/03/2016","Global Equity","Common stocks","Emerging markets","Health Care","KR7243070000","BYQRRK1","347,671,527,424","KRW","Analyze"
"KQ:030530","WONIK HOLDINGS LTD","030530","09/20/2000","Global Equity","Common stocks","Emerging markets","Information Technology","KR7030530000","6162302","347,056,996,352","KRW","Analyze"
"KQ:080160","MODETOUR NETWORK INC","080160","07/26/2005","Global Equity","Common stocks","Emerging markets","Consumer Discretionary","KR7080160005","B0FBSF8","344,975,998,976","KRW","Analyze"
"KQ:119610","INTEROJO CO. LTD.","119610","07/28/2010","Global Equity","Common stocks","Emerging markets","Health Care Equipment & Services","KR7119610004","B42MSJ6","344,821,104,640","KRW","Analyze"
"KQ:216080","Jetema Ltd","216080","07/10/2020","Global Equity","Common stocks","Developed markets ex-US","Health Care","KR7216080002","BK72GY4","341,106,400,000","KRW","Analyze"
"KQ:078160","MEDIPOST CO. LTD.","078160","07/29/2005","Global Equity","Common stocks","Emerging markets","Health Care","KR7078160009","B0C5TJ4","338,355,585,024","KRW","Analyze"
"KQ:084990","VIROMED CO. LTD.","084990","12/29/2005","Global Equity","Common stocks","Emerging markets","Health Care","KR7084990001","B0P5XC2","336,677,928,960","KRW","Analyze"
"KQ:058820","CMG PHARMACEUTICAL CO. LTD.","058820","08/31/2001","Global Equity","Common stocks","Emerging markets","Health Care","KR7058820002","6422794","334,842,888,192","KRW","Analyze"
"KQ:050890","Solid Inc","050890","07/08/2005","Global Equity","Common stocks","Developed markets ex-US","Information Technology","KR7050890003","B0C5W51","329,555,476,480","KRW","Analyze"
"KQ:178320","Seojin System Ltd","178320","01/03/2020","Global Equity","Common stocks","Developed markets ex-US","Information Technology","KR7178320008","BF2ZFP7","327,622,656,000","KRW","Analyze"
"KQ:039440","Systems Technology Inc","039440","03/04/2002","Global Equity","Common stocks","Developed markets ex-US","Unknown","KR7039440003","","324,617,404,416","KRW","Analyze"
"KQ:206640","BODITECH MED INC","206640","12/29/2014","Global Equity","Common stocks","Emerging markets","Health Care","KR7206640005","BTPJCB9","322,328,494,080","KRW","Analyze"
"KQ:217270","Neptune","217270","06/18/2015","Global Equity","Common stocks","Developed markets ex-US","Communication","KR7217270008","BYNBTX3","321,859,452,928","KRW","Analyze"
"KQ:115450","G-TREEBNT LTD","115450","03/26/2010","Global Equity","Common stocks","Emerging markets","Information Technology","KR7115450009","B636JW1","312,195,481,600","KRW","Analyze"
"KQ:121800","Vidente Ltd","121800","12/01/2011","Global Equity","Common stocks","Developed markets ex-US","Information Technology","KR7121800007","B712SF4","310,789,537,792","KRW","Analyze"
"KQ:265520","ADVANCED PROCESS SYSTEMS CORP","265520","04/07/2017","Global Equity","Common stocks","Emerging markets","Information Technology","KR7265520007","BF1HQF1","308,074,086,400","KRW","Analyze"
"KQ:136480","HARIM LTD","136480","05/02/2011","Global Equity","Common stocks","Developed markets ex-US","Food Beverage & Tobacco","KR7136480001","B68P8M6","306,919,047,168","KRW","Analyze"
"KQ:078070","Ubiquoss Holdings Inc","078070","01/23/2009","Global Equity","Common stocks","Developed markets ex-US","Information Technology","KR7078070000","B3L8YJ0","306,172,985,344","KRW","Analyze"
"KQ:045390","Daea Ti Ltd","045390","05/17/2001","Global Equity","Common stocks","Developed markets ex-US","Information Technology","KR7045390002","6354875","295,688,601,600","KRW","Analyze"
